,boro,id
0,MN,72
1,MN,79
2,MN,82
3,BK,83
4,MN,116
5,BK,119
6,BK,120
7,MN,127
8,MN,128
9,MN,137
10,BK,143
11,BK,144
12,MN,146
13,MN,147
14,MN,150
15,MN,151
16,MN,152
17,MN,153
18,BK,157
19,MN,160
20,MN,161
21,MN,164
22,MN,167
23,MN,168
24,MN,173
25,MN,174
26,MN,195
27,MN,212
28,BK,216
29,BK,217
30,BK,218
31,MN,223
32,MN,224
33,MN,225
34,MN,228
35,MN,229
36,BK,232
37,BK,233
38,MN,236
39,MN,237
40,MN,238
41,BK,239
42,BK,241
43,BK,242
44,BK,243
45,BK,244
46,BK,245
47,MN,247
48,MN,248
49,MN,249
50,MN,250
51,MN,251
52,MN,252
53,MN,253
54,MN,254
55,MN,257
56,BK,258
57,MN,259
58,MN,260
59,BK,261
60,BK,262
61,MN,263
62,MN,264
63,MN,265
64,MN,266
65,MN,267
66,MN,268
67,BK,270
68,BK,274
69,BK,275
70,MN,276
71,BK,278
72,MN,279
73,MN,280
74,MN,281
75,BK,282
76,MN,284
77,MN,285
78,BK,289
79,MN,290
80,MN,291
81,MN,293
82,MN,294
83,MN,295
84,MN,296
85,MN,297
86,BK,298
87,MN,300
88,MN,301
89,MN,302
90,MN,303
91,MN,304
92,MN,305
93,MN,306
94,MN,307
95,MN,308
96,MN,309
97,BK,310
98,MN,311
99,MN,312
100,BK,313
101,BK,314
102,MN,315
103,MN,316
104,MN,317
105,MN,318
106,MN,319
107,MN,320
108,BK,321
109,BK,322
110,BK,323
111,BK,324
112,MN,325
113,MN,326
114,MN,327
115,MN,328
116,MN,329
117,MN,330
118,MN,331
119,MN,332
120,MN,334
121,MN,335
122,MN,336
123,MN,337
124,MN,339
125,MN,340
126,MN,341
127,MN,342
128,BK,343
129,BK,344
130,MN,345
131,MN,346
132,MN,347
133,MN,348
134,MN,349
135,MN,350
136,MN,351
137,MN,352
138,BK,353
139,BK,354
140,MN,355
141,MN,356
142,MN,357
143,MN,358
144,MN,359
145,MN,360
146,MN,361
147,MN,362
148,MN,363
149,BK,364
150,BK,365
151,BK,366
152,MN,367
153,MN,368
